source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
immune_t_cell,nerve_c17,LRPAP1,SORT1,1.3013736,0.0,0.77965796,1.4727141024721235,1.142752230806594,0.010583645,0.89076644,0.1516239267578797,0.1023949158042101,immune,nerve,immune-nerve,immune_to_nerve,nerve_c17,t_cell,0.6072,12.0,0.3472,False,0.0821,23.0,0.7277,True,False
immune_nk_cell,nerve_c9,VIM,CD44,1.1262157,1.0,0.7792782,-0.1184084244370254,-0.7853337031769396,0.00959047,0.8907428,1.0,0.102534701931627,immune,nerve,immune-nerve,immune_to_nerve,nerve_c9,nk_cell,0.8791,5.0,0.1446,False,0.0794,26.0,0.7523,True,False
immune_tam,nerve_c3,APOE,LRP6,1.1245342,1.0,0.84705836,0.216065734472055,0.087432227508586,0.007943521,0.89473546,1.0,0.1025696587386921,immune,nerve,immune-nerve,immune_to_nerve,nerve_c3,tam,0.3912,13.0,0.4608,True,0.1165,25.0,0.7417,True,True
immune_tam,nerve_c22,APOE,SORL1,1.1239059,1.0,0.8448328,-0.1905425785134791,-0.0835564566611861,0.007913661,0.8946115,1.0,0.1026396018775546,immune,nerve,immune-nerve,immune_to_nerve,nerve_c22,tam,0.2879,24.0,0.4767,True,0.1165,25.0,0.7417,True,True
immune_tam,nerve_c6,CD14,ITGB1,1.1708812,0.0,0.77890575,0.3068446121670116,0.2990664950916499,0.012571806,0.8907195,0.2034214859654921,0.102744537474429,immune,nerve,immune-nerve,immune_to_nerve,nerve_c6,tam,0.2107,18.0,0.6248,True,0.1165,25.0,0.7417,True,True
immune_dendritic,nerve_c12,THBS1,SDC4,0.14148486,0.0,0.012916485,0.0758770664879747,0.0739968879029908,0.00856324,0.51210225,0.7692030717750471,0.1028450317563234,immune,nerve,immune-nerve,immune_to_nerve,nerve_c12,dendritic,0.8072,7.0,0.2013,False,0.0815,25.0,0.7859,True,False
immune_microglia,nerve_c21,APOE,LRP2,2.034407,0.0,0.73484546,0.6733798838018927,1.8656606459583491,0.005199694,0.8878531,0.295515725328944,0.1028450317563234,immune,nerve,immune-nerve,immune_to_nerve,nerve_c21,microglia,0.8488,6.0,0.1222,False,0.0187,44.0,0.9088,True,False
immune_microglia,nerve_c5,APOE,LRP6,2.0341706,0.0,0.73301256,0.4347006505188863,1.6793265680552405,0.006874026,0.8877287,0.4442577386305086,0.1030181977178593,immune,nerve,immune-nerve,immune_to_nerve,nerve_c5,microglia,0.226,19.0,0.6259,True,0.0187,44.0,0.9088,True,True
immune_microglia,nerve_c22,C3,LRP1,1.1232244,0.0,0.8027034,0.339192589382467,1.413420604258477,0.06016328,0.89217556,0.0959923052332148,0.1030596772153794,immune,nerve,immune-nerve,immune_to_nerve,nerve_c22,microglia,0.2879,24.0,0.4767,True,0.0187,44.0,0.9088,True,True
immune_tam,nerve_c13,IL18,IL1RAPL1,1.1468126,0.0,0.77744937,0.8597797148542157,0.8940540765428502,0.0077858497,0.8906284,0.4069164897766191,0.1031648215230662,immune,nerve,immune-nerve,immune_to_nerve,nerve_c13,tam,0.9595,1.0,0.0572,False,0.1165,25.0,0.7417,True,False
immune_nk_cell,nerve_c1,ADAM10,CADM1,1.1729037,0.0,0.77729875,0.7949029743998732,0.8965155021227251,0.01410368,0.8906189,0.1345084584436082,0.1032700146820632,immune,nerve,immune-nerve,immune_to_nerve,nerve_c1,nk_cell,0.1983,17.0,0.5642,True,0.0794,26.0,0.7523,True,True
immune_tam,nerve_neuron,APOE,ABCA1,1.1225504,1.0,0.8400325,-0.1560613730953845,-0.3437247083385983,0.005381041,0.89434254,1.0,0.1033050854995095,immune,nerve,immune-nerve,immune_to_nerve,nerve_neuron,tam,0.4,10.0,0.5084,True,0.1165,25.0,0.7417,True,True
immune_microglia,nerve_c21,APOE,ABCA1,2.0332909,0.0,0.72618586,0.2059921210303061,1.268059861605513,0.004651767,0.88726157,0.9574478110226524,0.1033645089400376,immune,nerve,immune-nerve,immune_to_nerve,nerve_c21,microglia,0.8488,6.0,0.1222,False,0.0187,44.0,0.9088,True,False
immune_nk_cell,nerve_c14,HLA-A,APLP2,1.8242261,0.0,0.7766021,0.2065495083287941,0.0867814463121512,0.006171598,0.89057523,1.0,0.1033752434104916,immune,nerve,immune-nerve,immune_to_nerve,nerve_c14,nk_cell,0.4198,6.0,0.3596,True,0.0794,26.0,0.7523,True,True
immune_t_cell,nerve_c17,TIMP1,FGFR2,1.2918768,0.0,0.77652967,2.2124440389885205,0.7517496864729102,0.005158585,0.8905707,0.2335530274046404,0.1034805342436762,immune,nerve,immune-nerve,immune_to_nerve,nerve_c17,t_cell,0.6072,12.0,0.3472,False,0.0821,23.0,0.7277,True,False
immune_nk_cell,nerve_c15,C3,ITGAM,0.120932996,1.0,0.012933906,-0.3861538043481994,-1.153295985515264,0.010831499,0.5122706,1.0,0.1035376542009549,immune,nerve,immune-nerve,immune_to_nerve,nerve_c15,nk_cell,0.9903,1.0,0.0149,False,0.0794,26.0,0.7523,True,False
immune_microglia,nerve_c14,APOE,LRP5,2.0332575,0.0,0.7259265,0.7266796338633859,1.8534406657980476,0.06188651,0.8872437,0.0432774260187414,0.1035376542009549,immune,nerve,immune-nerve,immune_to_nerve,nerve_c14,microglia,0.4198,6.0,0.3596,True,0.0187,44.0,0.9088,True,True
immune_dendritic,nerve_c6,TIMP1,CD63,1.1220921,1.0,1.2298279,-0.0916127025335353,-0.2162774976133346,0.0067743915,0.91104656,1.0,0.1035507596884053,immune,nerve,immune-nerve,immune_to_nerve,nerve_c6,dendritic,0.2107,18.0,0.6248,True,0.0815,25.0,0.7859,True,True
immune_tam,nerve_c12,CALM3,PDE1C,1.1218808,0.0,1.1559472,1.4695061673156602,1.1876646774232964,0.013923702,0.908504,0.1297361902553714,0.1036561319012442,immune,nerve,immune-nerve,immune_to_nerve,nerve_c12,tam,0.8072,7.0,0.2013,False,0.1165,25.0,0.7417,True,False
immune_nk_cell,nerve_c3,ADAM10,CADM1,1.1700306,0.0,0.7750041,0.7916665927720105,0.8508446399361507,0.014062045,0.89047486,0.1366491015782978,0.1036912623897292,immune,nerve,immune-nerve,immune_to_nerve,nerve_c3,nk_cell,0.3912,13.0,0.4608,True,0.0794,26.0,0.7523,True,True
immune_dendritic,nerve_c7,IL16,CD9,1.4726118,0.0,0.77469075,1.2420930200296514,1.411986150876973,0.021361822,0.8904551,0.0432774260187414,0.1037615529307442,immune,nerve,immune-nerve,immune_to_nerve,nerve_c7,dendritic,0.1793,26.0,0.7072,True,0.0815,25.0,0.7859,True,True
immune_dendritic,nerve_c14,ITGB3BP,ITGB5,0.11421117,1.0,0.012944864,-0.055248321634944,-0.0652416406758263,0.009632692,0.5123764,1.0,0.1038839322104031,immune,nerve,immune-nerve,immune_to_nerve,nerve_c14,dendritic,0.4198,6.0,0.3596,True,0.0815,25.0,0.7859,True,True
immune_t_cell,nerve_c3,ARPC5,LRP2,1.1215974,0.0,1.1268907,2.623103921661762,1.217047025568959,0.01323003,0.9074404,0.074779646220149,0.1039021857925279,immune,nerve,immune-nerve,immune_to_nerve,nerve_c3,t_cell,0.3912,13.0,0.4608,True,0.0821,23.0,0.7277,True,True
immune_dendritic,nerve_c2,AREG,ERBB3,1.1215609,0.0,1.0590293,1.8495101136650711,2.010223693698122,0.016138423,0.90479887,0.0190637634028022,0.1039373542363566,immune,nerve,immune-nerve,immune_to_nerve,nerve_c2,dendritic,0.25,13.0,0.5666,True,0.0815,25.0,0.7859,True,True
immune_dendritic,nerve_c19,CALM1,GRM3,1.1212844,0.0,1.2100649,1.3675804936460405,0.6576798810226638,0.008270356,0.91038793,0.4069164897766191,0.1040429054032178,immune,nerve,immune-nerve,immune_to_nerve,nerve_c19,dendritic,0.9467,4.0,0.054,False,0.0815,25.0,0.7859,True,False
immune_microglia,nerve_c1,APOE,SCARB1,2.033013,0.0,0.7240304,0.4455916534632109,1.6854940839407375,0.02235758,0.8871128,0.0449353720030865,0.1040570567716127,immune,nerve,immune-nerve,immune_to_nerve,nerve_c1,microglia,0.1983,17.0,0.5642,True,0.0187,44.0,0.9088,True,True
immune_microglia,nerve_c4,ACTR2,LRP2,1.1211431,0.0,1.2235235,2.444284992213454,1.5127003406387884,0.015845992,0.9108381,0.0396522042656461,0.1041132910751336,immune,nerve,immune-nerve,immune_to_nerve,nerve_c4,microglia,0.1409,18.0,0.5987,True,0.0187,44.0,0.9088,True,True
immune_dendritic,nerve_c11,SERPING1,LRP1,0.114707544,1.0,0.012951315,-0.3256541865768053,-0.5524938390149261,0.0046485597,0.51243865,1.0,0.1042301744333034,immune,nerve,immune-nerve,immune_to_nerve,nerve_c11,dendritic,0.1876,18.0,0.5976,True,0.0815,25.0,0.7859,True,True
immune_microglia,nerve_c15,APOE,SORL1,2.032947,0.001,0.723518,0.1699582643610798,1.0740327244274193,0.0067772903,0.8870774,1.0,0.1042301744333034,immune,nerve,immune-nerve,immune_to_nerve,nerve_c15,microglia,0.9903,1.0,0.0149,False,0.0187,44.0,0.9088,True,False
immune_microglia,nerve_c7,LGALS1,ITGB1,1.1207618,0.0,1.1103929,0.1685013143196034,0.2830591733200608,0.0093865,0.90681916,0.5049076476168548,0.1042541407720855,immune,nerve,immune-nerve,immune_to_nerve,nerve_c7,microglia,0.1793,26.0,0.7072,True,0.0187,44.0,0.9088,True,True
immune_microglia,nerve_c10,C3,CD46,1.1206905,0.0,0.79357797,0.4891409074609678,1.6622539109823569,0.023351612,0.89162445,0.0432774260187414,0.1042893767404964,immune,nerve,immune-nerve,immune_to_nerve,nerve_c10,microglia,0.2572,14.0,0.5531,True,0.0187,44.0,0.9088,True,True
immune_microglia,nerve_c20,GRN,SORT1,1.1206656,0.0,1.2206374,0.7733794307175187,1.473189958020773,0.009366137,0.91074216,0.4069164897766191,0.1043246048009235,immune,nerve,immune-nerve,immune_to_nerve,nerve_c20,microglia,0.3415,15.0,0.5197,True,0.0187,44.0,0.9088,True,True
immune_microglia,nerve_c7,APOE,LRP4,2.0326922,0.0,0.72154045,0.4357357986532401,1.6239465996553577,0.009247249,0.8869402,0.4417415292571002,0.1044032933819041,immune,nerve,immune-nerve,immune_to_nerve,nerve_c7,microglia,0.1793,26.0,0.7072,True,0.0187,44.0,0.9088,True,True
immune_nk_cell,nerve_c17,POMC,MRAP,0.11658534,0.0,0.0129521685,0.942909635502635,0.2422885438036723,0.07665145,0.51244694,0.1710360151008819,0.1044032933819041,immune,nerve,immune-nerve,immune_to_nerve,nerve_c17,nk_cell,0.6072,12.0,0.3472,False,0.0794,26.0,0.7523,True,False
immune_t_cell,nerve_c11,S100A4,EGFR,1.2666088,0.0,0.7714527,0.4538075193056683,0.088529424124027,0.014579946,0.8902507,0.4058025134336228,0.104465584552743,immune,nerve,immune-nerve,immune_to_nerve,nerve_c11,t_cell,0.1876,18.0,0.5976,True,0.0821,23.0,0.7277,True,True
immune_microglia,nerve_c0,APOE,LDLR,2.0326724,0.0,0.7213879,0.607506841636948,1.8231666758427163,0.029354272,0.88692963,0.0432774260187414,0.1045763972446434,immune,nerve,immune-nerve,immune_to_nerve,nerve_c0,microglia,0.4029,19.0,0.5772,True,0.0187,44.0,0.9088,True,True
immune_nk_cell,nerve_c15,GRN,TNFRSF1A,0.120047264,1.0,0.012958752,-0.5364791983666432,-1.076784258695024,0.0014448721,0.5125104,1.0,0.1045763972446434,immune,nerve,immune-nerve,immune_to_nerve,nerve_c15,nk_cell,0.9903,1.0,0.0149,False,0.0794,26.0,0.7523,True,False
immune_dendritic,nerve_c6,PSAP,GPR37,1.1197717,0.0,1.127774,0.9376715568003872,0.4912365321140229,0.008468236,0.9074733,0.4069164897766191,0.1046772233723532,immune,nerve,immune-nerve,immune_to_nerve,nerve_c6,dendritic,0.2107,18.0,0.6248,True,0.0815,25.0,0.7859,True,True
immune_tam,nerve_c11,CALM1,PTPRA,1.1197319,0.0,1.081118,0.2203746504585157,0.1089227631356454,0.0063759447,0.9056842,1.0,0.1047125110161097,immune,nerve,immune-nerve,immune_to_nerve,nerve_c11,tam,0.1876,18.0,0.5976,True,0.1165,25.0,0.7417,True,True
immune_tam,nerve_c1,JAG1,NOTCH1,0.114589214,1.0,0.012969636,-0.060219960083448,-0.1062946996029398,0.008618649,0.51261526,1.0,0.1047494942082765,immune,nerve,immune-nerve,immune_to_nerve,nerve_c1,tam,0.1983,17.0,0.5642,True,0.1165,25.0,0.7417,True,True
immune_nk_cell,nerve_c3,ACTR2,LRP2,1.1194645,0.0,1.1205615,2.663286021177594,1.2789016891942122,0.01451252,0.9072036,0.063894728375591,0.1047831159032032,immune,nerve,immune-nerve,immune_to_nerve,nerve_c3,nk_cell,0.3912,13.0,0.4608,True,0.0794,26.0,0.7523,True,True
immune_tam,nerve_c20,VIM,CD44,1.7184072,0.0,0.77020794,0.2290882849493577,-0.0014304998701542,0.009478843,0.89017177,0.6229391883874899,0.1048537290935443,immune,nerve,immune-nerve,immune_to_nerve,nerve_c20,tam,0.3415,15.0,0.5197,True,0.1165,25.0,0.7417,True,True
immune_tam,nerve_c15,APOE,LRP1,1.1191926,1.0,0.8281413,-0.1454964231608855,-0.3830566773645227,0.021752523,0.8936671,1.0,0.1049597028452785,immune,nerve,immune-nerve,immune_to_nerve,nerve_c15,tam,0.9903,1.0,0.0149,False,0.1165,25.0,0.7417,True,False
immune_microglia,nerve_c4,APOE,SCARB1,2.031942,0.0,0.71572065,0.4430934106564306,1.6929959687773737,0.02210098,0.8865335,0.0458225788924874,0.1050956674387734,immune,nerve,immune-nerve,immune_to_nerve,nerve_c4,microglia,0.1409,18.0,0.5987,True,0.0187,44.0,0.9088,True,True
immune_t_cell,nerve_c7,S100A4,ERBB3,1.2661572,0.0,0.7694844,1.0396361213677456,1.2927428702354549,0.005923471,0.8901258,0.2279355481689595,0.1051364251211697,immune,nerve,immune-nerve,immune_to_nerve,nerve_c7,t_cell,0.1793,26.0,0.7072,True,0.0821,23.0,0.7277,True,True
immune_microglia,nerve_c7,APOE,LRP6,2.0312603,0.0,0.71043193,0.4283943474719128,1.657381854603149,0.00666227,0.88615996,0.4607376748941119,0.1052687518905722,immune,nerve,immune-nerve,immune_to_nerve,nerve_c7,microglia,0.1793,26.0,0.7072,True,0.0187,44.0,0.9088,True,True
