source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,direction,nerve_cluster,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
malignant,nerve_c10,PTN,PTPRZ1,1.425742,1.0,1.276496,-0.5440644848890694,-0.3869158930663627,0.032917812,0.9013001,1.0,0.0122687161092083,malignant_to_nerve,nerve_c10,0.2572,14,0.5531,True
malignant,nerve_c10,NTRK3,PTPRD,1.709955,0.0,1.2754892,1.0444580668717842,1.3724307809818632,0.082041666,0.90126497,0.0196684719973873,0.0123186084497542,malignant_to_nerve,nerve_c10,0.2572,14,0.5531,True
nerve_c1,malignant,ALCAM,CHL1,1.3799891,0.0,1.4677556,0.8697595510513575,1.1881902297935167,0.072943576,0.90733844,0.0487098621528706,0.0123186084497542,nerve_to_malignant,nerve_c1,0.1983,17,0.5642,True
nerve_c10,malignant,CNTN2,NRCAM,1.3786328,0.0,1.8796204,1.2223919938904222,1.63848632103702,0.066293284,0.9172252,0.0099246711379029,0.0123686017707591,nerve_to_malignant,nerve_c10,0.2572,14,0.5531,True
malignant,nerve_c9,TIMP1,FGFR2,1.3782909,0.0,1.80051,1.1506461341099508,1.7940420798722811,0.06518799,0.9155781,0.0178344056680362,0.0124186912145641,malignant_to_nerve,nerve_c9,0.8791,5,0.1446,False
nerve_c19,malignant,APP,LRP1,1.3757466,0.0,1.2960941,0.479194586392011,0.9742304275630612,0.055839296,0.9019757,0.2380947917709082,0.0125191656597398,nerve_to_malignant,nerve_c19,0.9467,4,0.054,False
nerve_c10,malignant,NCAM1,NCAM2,1.3737235,0.0,1.2948433,0.3724117693934777,-0.3639984091710928,0.057243932,0.901933,1.0,0.0126706159755168,nerve_to_malignant,nerve_c10,0.2572,14,0.5531,True
malignant,nerve_c10,CALM1,GRM3,1.3725475,0.0,1.8716114,1.245444513302219,1.1380435088896672,0.08508473,0.91706294,0.0196684719973873,0.0127212963213391,malignant_to_nerve,nerve_c10,0.2572,14,0.5531,True
malignant,nerve_c19,TIMP1,FGFR2,1.3710687,0.0,1.7851505,1.1395818379451217,1.9932756771632412,0.064631894,0.9152465,0.0191160699811527,0.0127720750934541,malignant_to_nerve,nerve_c19,0.9467,4,0.054,False
malignant,nerve_c13,VIM,CD44,1.3655216,0.024,1.4515164,0.1546255725387982,1.4654231563756548,0.13326263,0.90686965,0.2294232272252383,0.0134411509876222,malignant_to_nerve,nerve_c13,0.9595,1,0.0572,False
nerve_c3,malignant,APP,LRP1,1.360045,0.0,1.2771467,0.4626524244576277,0.8898754658152939,0.05502299,0.9013227,0.2380947917709082,0.0138082973676676,nerve_to_malignant,nerve_c3,0.3912,13,0.4608,True
