nerve_leiden,cell_type_predicted,sample_id,n_cells
1,inhibitory_neuron,ndGBM-08,0
1,inhibitory_neuron,ndGBM-09,0
1,inhibitory_neuron,ndGBM-11,0
1,inhibitory_neuron,rGBM-01,0
1,inhibitory_neuron,rGBM-02,0
1,inhibitory_neuron,rGBM-03,0
1,inhibitory_neuron,rGBM-04,0
1,oligodendrocyte,3182,27
1,oligodendrocyte,3282,8
1,oligodendrocyte,3295,1
1,oligodendrocyte,BT333,53
1,oligodendrocyte,BT346,183
1,oligodendrocyte,BT363,439
1,oligodendrocyte,BT364,625
1,oligodendrocyte,BT368,35
1,oligodendrocyte,BT389,117
1,oligodendrocyte,BT390,696
1,oligodendrocyte,BT397,8
1,oligodendrocyte,BT402,82
1,oligodendrocyte,BT407,104
1,oligodendrocyte,BT409,173
1,oligodendrocyte,C3L-02705,0
1,oligodendrocyte,C3L-03405,0
1,oligodendrocyte,C3L-03968,2
1,oligodendrocyte,C3N-00662,1
1,oligodendrocyte,C3N-01334,2
1,oligodendrocyte,C3N-01798,0
1,oligodendrocyte,C3N-01814,8
1,oligodendrocyte,C3N-01815,2
1,oligodendrocyte,C3N-01816,0
1,oligodendrocyte,C3N-02181,0
1,oligodendrocyte,C3N-02188,0
1,oligodendrocyte,C3N-02190,0
1,oligodendrocyte,C3N-02769,0
1,oligodendrocyte,C3N-02783,5
1,oligodendrocyte,C3N-02784,55
1,oligodendrocyte,C3N-03184,0
1,oligodendrocyte,C3N-03186,5
1,oligodendrocyte,C3N-03188,36
1,oligodendrocyte,E10,0
1,oligodendrocyte,E100,1
1,oligodendrocyte,G523,6
1,oligodendrocyte,G549,3
1,oligodendrocyte,G566,0
1,oligodendrocyte,G583,13
1,oligodendrocyte,G620,0
1,oligodendrocyte,G637,0
1,oligodendrocyte,G729,2
1,oligodendrocyte,G799,0
