source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
nerve_c2,immune_microglia,APP,LRP1,1.372462,0.0,1.2586901,0.9045648446384262,0.991657556123809,0.017366353,0.91131693,0.0713181058594957,0.0324202201160003,nerve,immune,immune-nerve,nerve_to_immune,nerve_c2,microglia,0.4082,17.0,0.533,True,0.0584,28.0,0.8514,True,True
nerve_neuron,immune_tam,RIMS2,ABCA1,1.3722665,0.0,1.2907251,2.487377997515967,1.6201318420822433,0.11028097,0.9123273,0.0007863205104837,0.0324671595910709,nerve,immune,immune-nerve,nerve_to_immune,nerve_neuron,tam,0.5032,7.0,0.4667,False,0.221,21.0,0.6495,True,False
nerve_c21,immune_nk_cell,B2M,KLRD1,1.3722227,0.971,1.4069406,1.9866417016242823,0.014497004369762,0.010845548,0.9157145,0.4528136430470846,0.0324906376276065,nerve,immune,immune-nerve,nerve_to_immune,nerve_c21,nk_cell,1.0,1.0,-0.0,False,0.1807,21.0,0.6809,True,False
nerve_c1,immune_nk_cell,LGALS1,CD69,1.3714876,0.0,1.7747307,0.53938533313892,0.4878990719666215,0.026247792,0.92425466,0.0584463858624115,0.0326081609637072,nerve,immune,immune-nerve,nerve_to_immune,nerve_c1,nk_cell,0.1941,18.0,0.5886,True,0.1807,21.0,0.6809,True,True
nerve_c16,immune_tam,SPP1,ITGAV_ITGB1,1.7980261,0.0,1.2413143,0.051205290018321,-0.7691896841245983,0.012387008,0.9107536,1.0,0.0326787729829543,nerve,immune,immune-nerve,nerve_to_immune,nerve_c16,tam,0.2917,16.0,0.4833,True,0.221,21.0,0.6495,True,True
nerve_c22,immune_tam,VCAN,CD44,1.3706548,0.0,1.5942,0.8567377496558537,1.137312008941055,0.04428739,0.920413,0.0555857397840451,0.0327494579223435,nerve,immune,immune-nerve,nerve_to_immune,nerve_c22,tam,1.0,1.0,-0.0,False,0.221,21.0,0.6495,True,False
nerve_c4,immune_microglia,ADAM10,TREM2,1.370595,0.0,1.861264,0.9865219263666484,1.9311390896406184,0.06528048,0.92590433,0.0293980984695609,0.032773033186303,nerve,immune,immune-nerve,nerve_to_immune,nerve_c4,microglia,0.1779,16.0,0.5438,True,0.0584,28.0,0.8514,True,True
nerve_c0,immune_dendritic,COL4A5,CD44,1.3704019,0.0,1.6605204,2.574052762797657,1.5617832279528474,0.018400645,0.9218931,0.0400931989640089,0.0328438153323013,nerve,immune,immune-nerve,nerve_to_immune,nerve_c0,dendritic,0.1812,15.0,0.5697,True,0.1168,23.0,0.7139,True,True
nerve_c9,immune_microglia,PSAP,LRP1,1.3703437,0.0,1.2562246,0.238682211671888,0.029464146495008,0.019722542,0.91123766,0.5250558274111413,0.0328674268744293,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,microglia,0.4802,7.0,0.3212,True,0.0584,28.0,0.8514,True,True
nerve_c1,immune_tam,CIRBP,TREM1,1.3700016,0.0,1.6131102,1.0766119479066547,1.122859243668876,0.041393563,0.92084384,0.0328881599277504,0.0328910426321362,nerve,immune,immune-nerve,nerve_to_immune,nerve_c1,tam,0.1941,18.0,0.5886,True,0.221,21.0,0.6495,True,True
nerve_c1,immune_nk_cell,PTN,NCL,1.3687449,0.0,1.8648884,0.4177985077698518,0.153108336202394,0.010911932,0.92597103,0.3695081718190177,0.0330802796138892,nerve,immune,immune-nerve,nerve_to_immune,nerve_c1,nk_cell,0.1941,18.0,0.5886,True,0.1807,21.0,0.6809,True,True
