source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,direction,nerve_cluster,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
nerve_c9,malignant,MIF,EGFR,1.633188,0.0,2.651365,0.3588553118771994,2.0721040038116234,0.104953684,0.9284354,0.0296227648967986,0.0027958909857803,nerve_to_malignant,nerve_c9,0.4802,7,0.3212,True
nerve_c2,malignant,CALM1,PTPRA,1.6299088,0.0,1.9562917,0.4072184625135323,0.3880769859380878,0.07963488,0.9176538,0.0476206144677413,0.0028517473064469,nerve_to_malignant,nerve_c2,0.4082,17,0.533,True
nerve_c7,malignant,IL1RAPL1,PTPRS,2.0841773,0.0,1.8569654,1.1845790994572982,1.5484524566617912,0.09517034,0.9156635,0.021791008657169,0.0029081492285548,nerve_to_malignant,nerve_c7,0.17,15,0.5776,True
malignant,nerve_c20,CALM1,GRM3,1.6290951,0.0,2.6347933,1.8973623202496992,1.3161794245493166,0.12726273,0.92822677,0.0179906433649853,0.0029081492285548,malignant_to_nerve,nerve_c20,0.7889,9,0.1802,False
nerve_c16,malignant,HLA-A,APLP2,1.6286511,0.0,1.8840985,0.4200257007329137,0.8969777102151364,0.09059859,0.9162219,0.0296227648967986,0.0029365541291931,nerve_to_malignant,nerve_c16,0.2917,16,0.4833,True
nerve_neuron,malignant,NRG3,EGFR,1.6206982,0.0,2.6137223,1.397184901133899,3.5587630626765208,0.46661708,0.92795885,6.006459423459428e-05,0.0030225884676041,nerve_to_malignant,nerve_neuron,0.5032,7,0.4667,False
malignant,nerve_neuron,BCAN,NRCAM,1.6188138,0.0,2.4239774,0.4080813436722215,1.3692635478681223,0.25494158,0.92539877,0.0296227648967986,0.0030515391135791,malignant_to_nerve,nerve_neuron,0.5032,7,0.4667,False
nerve_c20,malignant,EDIL3,ITGAV,1.8515625,0.0,1.839116,1.7864374684821285,1.7787675901450533,0.082553975,0.9152898,0.0054046549130809,0.003080625984335,nerve_to_malignant,nerve_c20,0.7889,9,0.1802,False
nerve_c6,malignant,SPP1,CD44,1.9068848,0.0,1.8300731,0.8192333894054842,1.4354377839536667,0.06392881,0.91509855,0.1114367299686148,0.003109849054789,nerve_to_malignant,nerve_c6,0.2036,24,0.6567,True
malignant,nerve_c0,NLGN1,NRXN3,1.6133187,0.0,2.4857225,0.6956100733764982,0.787954712336566,0.11184444,0.9262624,0.0296227648967986,0.0031245119654922,malignant_to_nerve,nerve_c0,0.1812,15,0.5697,True
nerve_c0,malignant,NRXN3,NLGN1,1.6133187,0.0,2.4857225,0.6956100733764982,0.787954712336566,0.11184444,0.9262624,0.0296227648967986,0.0031245119654922,nerve_to_malignant,nerve_c0,0.1812,15,0.5697,True
nerve_c18,malignant,HLA-A,APLP2,1.6125343,0.0,1.8598567,0.4069512946767283,0.8149775362924407,0.0894329,0.91572356,0.0296227648967986,0.0031687036944598,nerve_to_malignant,nerve_c18,0.5575,4,0.2111,False
nerve_c10,malignant,BMP2,SMO,0.09136845,0.0,0.008078342,0.0882837777695019,0.151418876577789,0.10146649,0.41728672,0.2586199024895275,0.0031903576606738,nerve_to_malignant,nerve_c10,0.8274,7,0.1908,False
nerve_c7,malignant,IL1RAPL1,PTPRD,2.0796468,0.0,1.8237923,1.114909871729223,0.3542454044629493,0.09517034,0.9149649,0.061621894176913,0.0031983352135109,nerve_to_malignant,nerve_c7,0.17,15,0.5776,True
malignant,nerve_c9,TIMP1,FGFR2,1.6088965,0.0,2.387471,1.490731268215829,2.192309778956618,0.083250515,0.92487323,0.0032843179614764,0.0032580065246303,malignant_to_nerve,nerve_c9,0.4802,7,0.3212,True
nerve_c16,malignant,SPP1,CD44,1.8861098,0.0,1.8066822,0.8034140754649938,1.3848154281252807,0.063111715,0.9145975,0.1202461287940748,0.0032880462665329,nerve_to_malignant,nerve_c16,0.2917,16,0.4833,True
nerve_c5,malignant,MIF,EGFR,1.6084142,0.0,2.5766995,0.3378125135709817,2.0630197077177397,0.10199806,0.9274806,0.0296227648967986,0.0033182220325536,nerve_to_malignant,nerve_c5,0.5076,15,0.4523,False
malignant,nerve_c2,TIMP1,CD63,1.6055171,0.0,2.3796272,0.126581948712118,0.7861104093995956,0.06425637,0.92475885,0.1802969881797999,0.0033485337976096,malignant_to_nerve,nerve_c2,0.4082,17,0.533,True
nerve_c20,malignant,NCAM1,PTPRA,1.6041875,0.0,1.9154944,0.5749599266763161,0.5846144076200616,0.07463856,0.916854,0.0692979049286068,0.003378981536618,nerve_to_malignant,nerve_c20,0.7889,9,0.1802,False
nerve_c4,malignant,NCAM1,PTPRA,1.6040924,0.0,1.9153435,0.5748676079921187,0.572488782791884,0.07463268,0.916851,0.0697733022649364,0.003409565224496,nerve_to_malignant,nerve_c4,0.1779,16,0.5438,True
malignant,nerve_c7,CALM1,PDE1C,1.6023161,0.0,2.5549557,0.940428316110339,1.0710616300165832,0.08896245,0.927195,0.0296227648967986,0.0034711396968088,malignant_to_nerve,nerve_c7,0.17,15,0.5776,True
