pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|nerve|GNAI2|ADORA1,True,True,0.66397697,0.871147
immune|nerve|GNAI2|CAV1,True,True,0.70548093,0.9005963
immune|nerve|GNAI2|EGFR,True,True,0.85739654,0.8948546
immune|nerve|GNAI2|IGF1R,True,True,0.8282148,0.9341915
immune|nerve|GNAI2|UNC5B,True,True,0.7091337,0.90798503
immune|nerve|GNAS|ADCY9,True,True,0.852595,0.8501338
immune|nerve|GNAS|ADORA1,True,True,0.7466722,0.8657557
immune|nerve|GPI|AMFR,True,True,0.7150198,0.80724263
immune|nerve|GRN|EGFR,True,True,0.8698888,0.8951979
immune|nerve|GRN|SORT1,True,True,0.8493597,0.939911
immune|nerve|GRN|TNFRSF1A,True,True,0.70101535,0.80598384
immune|nerve|GSTO1|RYR1,True,True,0.581456,0.83719707
immune|nerve|GSTP1|EGFR,True,True,0.82245046,0.89855933
immune|nerve|GSTP1|TRAF2,True,True,0.5629254,0.7540978
immune|nerve|HBEGF|CD44,True,True,0.7637174,0.8952955
immune|nerve|HBEGF|CD82,True,True,0.6350985,0.89076567
immune|nerve|HBEGF|CD9,True,True,0.6436645,0.9410395
immune|nerve|HGF|CD44,True,True,0.80209535,0.71909565
immune|nerve|HGF|ITGB1,True,True,0.7193637,0.74601096
immune|nerve|HGF|MET,True,True,0.6805391,0.5990928
immune|nerve|HLA-A|APLP2,True,True,0.87051564,0.9201695
immune|nerve|HSPA8|LDLR,True,True,0.68657565,0.83549374
immune|nerve|HSPA8|LRP2,True,True,0.8141576,0.9394335
immune|nerve|ICAM1|CAV1,True,True,0.68516046,0.85338116
immune|nerve|ICAM1|EGFR,True,True,0.8452585,0.84538054
immune|nerve|IGF1|IGF1R,True,True,0.800775,0.8513466
immune|nerve|IGF1|IGF2R,True,True,0.7071798,0.7360453
immune|nerve|IGF1|INSR,True,True,0.78817743,0.8405568
immune|nerve|IGF1|ITGA6_ITGB4,True,True,0.63648,0.5901318
immune|nerve|IL16|CD9,True,True,0.6483907,0.90841043
immune|nerve|IL16|GRIN2A,True,True,0.8098125,0.74329233
immune|nerve|IL16|GRIN2B,True,True,0.8031481,0.7243308
immune|nerve|IL16|KCND2,True,True,0.80512226,0.8761882
immune|nerve|IL16|KCNJ10,True,True,0.63766664,0.850323
immune|nerve|IL18|IL1RAPL1,True,True,0.9021352,0.94636
immune|nerve|ITGAV|THY1,True,True,0.8205032,0.75804913
immune|nerve|ITGB2|THY1,True,True,0.7288419,0.8238182
immune|nerve|JAM2|ITGAV_ITGB1,True,True,0.6461301,0.73661274
immune|nerve|JAML|CXADR,True,True,0.71173567,0.87303555
immune|nerve|LGALS1|ITGB1,True,True,0.7225459,0.9381097
immune|nerve|LGALS3|MCAM,True,True,0.6666982,0.8775472
immune|nerve|LGALS9|CD44,True,True,0.7896378,0.87095755
immune|nerve|LGALS9|CD47,True,True,0.7514524,0.90565306
immune|nerve|LGALS9|LRP1,True,True,0.74826604,0.82060915
immune|nerve|LGALS9|MET,True,True,0.66363865,0.7975672
immune|nerve|LGALS9|PTPRK,True,True,0.8368749,0.9311513
immune|nerve|LMAN1|MCFD2,True,True,0.56905174,0.7410768
immune|nerve|LPL|CD44,True,True,0.7757468,0.8011102
immune|nerve|LPL|LRP2,True,True,0.76262677,0.84996724
immune|nerve|LPL|VLDLR,True,True,0.5943135,0.7225136
immune|nerve|NAMPT|INSR,True,True,0.8852198,0.94311416
immune|nerve|NCAM1|CACNA1C,True,True,0.89940274,0.76190495
immune|nerve|NCAM1|FGFR1,True,True,0.84951717,0.82758296
immune|nerve|NCAM1|FGFR2,True,True,0.8800359,0.9050079
immune|nerve|NCAM1|NCAM2,True,True,0.9007949,0.921235
immune|nerve|NCAM1|PTPRA,True,True,0.88107055,0.8736017
immune|nerve|NCAM1|PTPRZ1,True,True,0.9074746,0.9076141
immune|nerve|NCAM1|ROBO1,True,True,0.8825108,0.900696
immune|nerve|NELL2|ROBO3,True,True,0.6443418,0.5486292
immune|nerve|NUCB2|ERAP1,True,True,0.55805737,0.7744645
immune|nerve|PDGFB|ADGRV1,True,True,0.7512057,0.80133224
immune|nerve|PDGFB|ITGAV,True,True,0.76962215,0.83023185
immune|nerve|PDGFC|PDGFRA,True,True,0.81410193,0.66128784
immune|nerve|PKM|CD44,True,True,0.85989606,0.910254
immune|nerve|PLAU|IGF2R,True,True,0.73593533,0.76039326
immune|nerve|PLAU|ITGB1,True,True,0.7327498,0.8358457
immune|nerve|PLAU|ITGB5,True,True,0.63632894,0.6531485
immune|nerve|PLAU|LRP2,True,True,0.80104506,0.86191225
immune|nerve|PLAU|VLDLR,True,True,0.64737713,0.7415202
immune|nerve|PLTP|ABCA1,True,True,0.82359564,0.91468817
immune|nerve|PROS1|TYRO3,True,True,0.6932098,0.7381541
immune|nerve|PSAP|AR,True,True,0.8311033,0.86161965
immune|nerve|PSAP|GPR37,True,True,0.84481394,0.94938564
immune|nerve|PSAP|LRP1,True,True,0.8687064,0.89415956
immune|nerve|PSAP|SORT1,True,True,0.90386766,0.9526035
immune|nerve|PSEN1|CD44,True,True,0.85839444,0.82116103
immune|nerve|PSEN1|NOTCH1,True,True,0.8234778,0.71480125
immune|nerve|PSEN1|NOTCH2,True,True,0.78300315,0.6580306
immune|nerve|PTDSS1|JMJD6,True,True,0.54375464,0.7554201
immune|nerve|PTDSS1|SCARB1,True,True,0.67834896,0.7415334
immune|nerve|PTPN6|EGFR,True,True,0.8037445,0.8448472
immune|nerve|RTN4|LINGO1,True,True,0.85361505,0.8609812
immune|nerve|S100A10|CFTR,True,True,0.66110116,0.8979727
immune|nerve|S100A4|EGFR,True,True,0.8955844,0.9248153
immune|nerve|S100A4|ERBB3,True,True,0.83866894,0.941276
immune|nerve|SDC2|PTPRJ,True,True,0.8293525,0.8596146
immune|nerve|SEMA4D|MET,True,True,0.7761056,0.7745693
immune|nerve|SEMA4D|PLXNB1,True,True,0.79264593,0.8365456
immune|nerve|SERPINA1|LRP1,True,True,0.73512983,0.8762842
immune|nerve|SERPINE1|ITGB5,True,True,0.61820966,0.71127677
immune|nerve|SERPINE1|LRP2,True,True,0.7884035,0.8908983
immune|nerve|SIRPA|CD47,True,True,0.7988941,0.8916634
immune|nerve|SPON2|ITGB1,True,True,0.68772537,0.8768169
immune|nerve|SPP1|CD44,True,True,0.90541667,0.942129
immune|nerve|SPP1|ITGAV_ITGB1,True,True,0.85824376,0.9457657
immune|nerve|SPP1|ITGAV_ITGB5,True,True,0.7943954,0.8735442
immune|nerve|SPTAN1|PTPRA,True,True,0.8448941,0.8639519
immune|nerve|ST6GAL1|CD22,True,True,0.8899149,0.88607967
immune|nerve|ST6GAL1|EGFR,True,True,0.9262786,0.85744095
immune|nerve|TGFB1|CAV1,True,True,0.7287629,0.87659794
immune|nerve|TGFB1|EGFR,True,True,0.8708676,0.8696706
immune|nerve|TGFB1|ITGB1,True,True,0.7617139,0.8968568
immune|nerve|TGFB1|ITGB5,True,True,0.67105174,0.76279205
immune|nerve|TGFB1|ITGB8,True,True,0.8418179,0.9044284
immune|nerve|TGFB1|LPP,True,True,0.8647257,0.9017227
immune|nerve|TGFB1|SDC2,True,True,0.7058415,0.6976043
immune|nerve|TGFB1|TGFBR3,True,True,0.7126764,0.7953732
